20250806 22:10:47 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250806 22:12:25 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250807 02:28:14 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250807 02:50:56 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 01:11:02 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 01:48:35 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 01:53:40 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 01:58:35 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:07:04 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:08:30 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:11:35 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:12:01 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:14:21 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:16:19 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:26:28 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:28:10 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:30:22 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:36:58 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:40:36 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:42:59 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 02:59:12 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

20250814 03:37:16 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_ut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4)

