20250807 14:09:27 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vit', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4, test_maze_size=13, train_maze_size=9)

20250807 22:55:20 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4, test_maze_size=13, train_maze_size=9)

20250814 03:35:56 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4, test_maze_size=9, train_maze_size=9)

20250814 04:34:41 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitut_act', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4, test_maze_size=9, train_maze_size=9)

20250814 04:35:43 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitutact', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=4, test_maze_size=9, train_maze_size=9)

20250922 22:07:48 Namespace(checkpoint='check_default', data_path='../data', depth=1, epochs=200, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='recur_resnet', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=False, save_json=False, save_period=200, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=20, warmup_period=5, width=2, test_maze_size=9, train_maze_size=9)

20250925 02:31:02 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=True, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=5, warmup_period=5, width=4, test_maze_size=13, train_maze_size=9)

20250925 02:31:41 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=True, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=5, warmup_period=5, width=4, test_maze_size=13, train_maze_size=9)

20250925 02:32:30 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=True, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=5, warmup_period=5, width=4, test_maze_size=9, train_maze_size=9)

20250925 02:33:59 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitutact', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=True, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=5, warmup_period=5, width=4, test_maze_size=9, train_maze_size=9)

20250925 12:05:35 Namespace(checkpoint='check_default', data_path='../data', depth=4, epochs=20, lr=0.001, lr_factor=0.1, lr_schedule=[100, 150], model='maze_vitut', model_path=None, shuffle=True, optimizer='adam', output='output_default', quick_test=True, save_json=False, save_period=20, test_batch_size=500, test_iterations=None, test_mode='default', train_batch_size=128, train_log='train_log.txt', train_mode='default', val_period=5, warmup_period=5, width=4, test_maze_size=15, train_maze_size=15)

